nombre,población,superficie,continente
Afganistan,39905102,652864,Asia
Albania,2793592,28748,Europa
Andorra,85101,468,Europa
Alemania,84607016,357375,Europa
Argentina,46735004,2780400,America
Austria,9027999,83871,Europa
Australia,26020805,7741220,Oceania
Azerbaiyan,10412652,86600,Asia
Belgica,11754004,30528,Europa
Bielorrusia,9498237,207600,Europa
Bolivia,12625000,1098581,America
Bosnia Herzegovina,3475000,51197,Europa
Brasil,212583750,8515770,America
Bulgaria,6447710,110879,Europa
Burkina Faso,22673762,274200,Africa
Chad,18278567,1284000,Africa
Chile,20086384,756102,America
China,1409670000,9596960,Asia
Colombia,53110609,1141748,America
Estados Unidos,340110998,9833517,America
España,49315949,505944,Europa
Francia,68042591,675417,Europa
India,1437627700,3287263,Asia
Italia,58870764,302073,Europa
Japon,123719238,377975,Asia
Mexico,132274337,1964375,America
Rusia,141698923,17125191,Asia
